142	2045	67	1
142	2045	62	2
142	2045	59	3
142	2045	55	4
775	2727	69	1
775	2727	62	2
775	2727	57	3
775	2727	54	4
1407	3409	71	1
1407	3409	62	2
1407	3409	55	3
1407	3409	53	4
2000	4091	64	2
2000	4091	55	3
2000	4091	52	4
2000	4091	72	1
2553	4773	62	2
2553	4773	57	3
2553	4773	54	4
3125	5455	71	1
3125	5455	62	2
3125	5455	55	3
3125	5455	55	4
4962	6818	69	1
4962	6818	64	2
4962	6818	55	3
4962	6818	49	4
5620	7500	62	2
5620	7500	53	3
5620	7500	69	1
5620	7500	50	4
5912	7841	60	2
5912	7841	52	3
6203	8182	68	1
6203	8182	59	2
6203	8182	52	3
6749	8864	52	3
6749	8864	69	1
6749	8864	64	2
6749	8864	48	4
7013	9205	57	3
7277	9545	65	2
7277	9545	57	3
7277	9545	50	4
7277	9545	71	1
7852	10227	64	2
7852	10227	56	3
7852	10227	52	4
8178	10568	62	2
8503	10909	69	1
8503	10909	60	2
8503	10909	57	3
8503	10909	45	4
10843	12955	72	1
10843	12955	69	2
10843	12955	64	3
10843	12955	57	4
11439	13636	67	2
11439	13636	64	3
11439	13636	72	1
11439	13636	52	4
11699	13977	65	2
11699	13977	62	3
11959	14318	72	1
11959	14318	64	3
11959	14318	48	4
11959	14318	67	2
12218	14659	71	1
12477	15000	60	3
12477	15000	53	4
12477	15000	69	1
12768	15341	65	2
12768	15341	61	3
12768	15341	55	4
12914	15511	64	2
13059	15682	65	2
13059	15682	62	3
13059	15682	53	4
13362	16023	67	2
13362	16023	64	3
13362	16023	52	4
13664	16364	74	1
13664	16364	69	2
13664	16364	65	3
13664	16364	50	4
15386	18409	55	4
15386	18409	71	1
15386	18409	67	2
15386	18409	62	3
15655	18750	53	4
15924	19091	72	1
15924	19091	67	2
15924	19091	64	3
15924	19091	52	4
16435	19773	69	1
16435	19773	62	3
16435	19773	54	4
16435	19773	69	2
17007	20455	71	1
17007	20455	55	4
17007	20455	62	3
17269	20796	67	2
17531	21136	69	1
17531	21136	50	4
17820	21477	66	2
17820	21477	60	3
18109	21818	67	1
18109	21818	62	2
18109	21818	59	3
18109	21818	43	4
20487	23864	74	1
20487	23864	67	2
20487	23864	59	3
20487	23864	55	4
21084	24546	69	2
21084	24546	74	1
21084	24546	57	3
21084	24546	54	4
21366	24886	62	2
21648	25227	55	4
21648	25227	74	1
21648	25227	59	3
21648	25227	67	2
21911	25568	53	4
22173	25909	52	4
22173	25909	72	1
22173	25909	60	3
22463	26250	65	2
22463	26250	50	4
22753	26591	67	2
22753	26591	52	4
23034	26932	64	2
23034	26932	48	4
23314	27273	69	1
23314	27273	65	2
23314	27273	60	3
23314	27273	53	4
25086	29318	72	1
25086	29318	67	2
25086	29318	64	3
25086	29318	52	4
25651	30000	72	1
25651	30000	62	3
25651	30000	54	4
25651	30000	69	2
26251	30682	71	1
26251	30682	62	3
26251	30682	55	4
26506	31023	67	2
26760	31364	72	1
26760	31364	64	3
26760	31364	67	2
26760	31364	48	4
27038	31705	71	1
27038	31705	62	3
27316	32046	69	1
27316	32046	67	2
27316	32046	64	3
27316	32046	49	4
27878	32727	69	1
27878	32727	66	2
27878	32727	62	3
27878	32727	50	4
29763	34773	74	1
29763	34773	62	3
29763	34773	47	4
29763	34773	67	2
30317	35455	55	3
30317	35455	72	1
30317	35455	52	4
30609	35796	66	2
30609	35796	57	3
30900	36136	59	3
30900	36136	50	4
30900	36136	71	1
30900	36136	67	2
31200	36477	64	3
31200	36477	48	4
31500	36818	57	3
31500	36818	67	2
31500	36818	50	4
31500	36818	69	1
31779	37159	62	3
32057	37500	66	2
32057	37500	38	4
32356	37841	60	3
32654	38182	67	1
32654	38182	62	2
32654	38182	59	3
32654	38182	43	4
