116	1875	62	3
116	1875	46	4
116	1875	67	1
116	1875	62	2
442	2188	60	3
442	2188	45	4
767	2500	43	4
767	2500	70	1
767	2500	62	2
767	2500	58	3
1063	2813	45	4
1358	3125	46	4
1358	3125	67	1
1358	3125	62	2
1358	3125	58	3
1664	3438	48	4
1969	3750	50	4
1969	3750	65	1
1969	3750	62	2
1969	3750	57	3
2269	4063	48	4
2569	4375	67	1
2569	4375	62	2
2569	4375	58	3
2569	4375	46	4
2869	4688	69	1
2869	4688	66	2
2869	4688	60	3
2869	4688	45	4
3168	5000	43	4
3168	5000	70	1
3168	5000	62	3
3168	5000	67	2
3517	5313	46	4
3866	5625	63	3
3866	5625	48	4
3866	5625	69	1
4205	5938	62	3
4205	5938	66	2
4205	5938	50	4
4375	6094	60	3
4544	6250	67	1
4544	6250	62	2
4544	6250	58	3
4544	6250	43	4
6424	6875	70	1
6424	6875	67	2
6424	6875	62	3
6424	6875	55	4
6991	7500	43	4
6991	7500	70	1
6991	7500	67	2
6991	7500	62	3
7300	7813	45	4
7609	8125	46	4
7609	8125	70	1
7609	8125	67	2
7609	8125	62	3
7936	8438	48	4
8262	8750	65	2
8262	8750	62	3
8262	8750	50	4
8262	8750	70	1
8581	9063	55	3
8581	9063	51	4
8581	9063	63	2
8900	9375	57	3
8900	9375	65	1
8900	9375	53	4
9219	9688	62	2
9219	9688	58	3
9378	9844	60	2
9537	10000	62	2
9537	10000	67	1
9537	10000	53	4
9864	10313	64	2
9864	10313	57	3
10027	10469	65	2
10190	10625	55	3
10190	10625	70	1
10190	10625	67	2
10190	10625	52	4
10525	10938	60	3
10859	11250	69	1
10859	11250	65	2
10859	11250	60	3
10859	11250	53	4
12803	11875	60	3
12803	11875	41	4
12803	11875	69	1
12803	11875	65	2
13142	12188	58	3
13142	12188	43	4
13480	12500	57	3
13480	12500	45	4
13480	12500	72	1
13480	12500	65	2
13775	12813	55	3
13775	12813	46	4
14070	13125	64	2
14070	13125	48	4
14070	13125	72	1
14070	13125	57	3
14384	13438	66	2
14384	13438	50	4
14697	13750	72	1
14697	13750	67	2
14697	13750	55	3
14697	13750	51	4
15047	14063	70	1
15047	14063	66	2
15047	14063	60	3
15222	14219	69	1
15397	14375	67	1
15397	14375	67	2
15397	14375	58	3
15721	14688	69	1
15721	14688	62	2
15721	14688	57	3
15721	14688	42	4
16044	15000	62	2
16044	15000	55	3
16044	15000	43	4
16044	15000	70	1
16362	15313	62	3
16362	15313	46	4
16362	15313	67	2
16680	15625	63	3
16680	15625	48	4
16680	15625	69	1
17031	15938	62	3
17031	15938	66	2
17031	15938	50	4
17206	16094	60	3
17381	16250	67	1
17381	16250	62	2
17381	16250	58	3
17381	16250	43	4
19223	16875	69	1
19223	16875	66	2
19223	16875	62	3
19223	16875	50	4
19825	17500	43	4
19825	17500	70	1
19825	17500	67	2
19825	17500	62	3
20125	17813	45	4
20424	18125	46	4
20424	18125	67	1
20424	18125	62	2
20424	18125	58	3
20723	18438	48	4
21021	18750	50	4
21021	18750	65	1
21021	18750	62	2
21021	18750	57	3
21337	19063	48	4
21652	19375	67	1
21652	19375	62	2
21652	19375	58	3
21652	19375	46	4
21965	19688	69	1
21965	19688	66	2
21965	19688	60	3
21965	19688	45	4
22278	20000	43	4
22278	20000	70	1
22278	20000	62	3
22278	20000	67	2
22585	20313	46	4
22892	20625	63	3
22892	20625	48	4
22892	20625	69	1
23207	20938	62	3
23207	20938	66	2
23207	20938	50	4
23364	21094	60	3
23521	21250	67	1
23521	21250	62	2
23521	21250	59	3
23521	21250	43	4
